text,intensity,source,abuse,censure,discrimination,hate,sexual,violence,사전_유해성,AI_유해성,유해_단어,대체_제안형식,대체_문장
밤에 외로우면 연락해,1,윤리검증,0,0,0,0,1,1,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""연락해""],
  ""대체 제안 형식"": ""의도를 유지하되, 친구나 지인을 찾는 형태로 변경"",
  ""대체 문장"": ""밤에 외로우면 얘기해보자.""
}
```"
ㅋㅋㅋㅋㅋ ㅇㅈ 할 말없을 때도 욕만 하니까 좀 듣기 불편하더라,0,윤리검증,0,0,0,0,0,0,0,0,,,
배가 아파,0,윤리검증,0,0,0,0,0,0,0,0,,,
여자가 결혼했으면 집안일을 챙겨야지,1,윤리검증,0,0,1,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""여자가 결혼했으면"", ""챙겨야지""],
  ""대체 제안 형식"": ""성별에 구애받지 않는 표현으로 변경하고, 긍정적인 태도를 담은 문장으로 수정"",
  ""대체 문장"": ""결혼한 사람은 가정의 일도 함께 고려해야 한다고 생각해.""
}
```"
어우 저 짐승만도 못한 쓰레기 같은 인간!,1,윤리검증,0,1,0,0,0,0,1,1,,,"```json
{
  ""문장중 유해한 단어들"": [""쓰레기""],
  ""대체 제안 형식"": ""비판적인 감정을 표현하되, 더 부드러운 표현으로 대체"",
  ""대체 문장"": ""어우 저 짐승만도 못한 사람 같은 행동이야!""
}
```"
그건 좀 ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,0,,,
걍.. 혀 짤린 사람 같음.. 니 시옷 발음도 안되제?ㅋㅋㅋ,1,윤리검증,0,1,0,0,0,0,0,1,,,"```json
{
  ""문장중 유해한 단어들"": [""혀 짤린"", ""시옷 발음""],
  ""대체 제안 형식"": ""비하의 의도를 포함하지 않도록 대체하거나 부드러운 표현으로 바꾸기"",
  ""대체 문장"": ""좀 어색하게 말하는 것 같은데, 발음 연습해보는 건 어때?ㅋㅋㅋ""
}
```"
가슴이 저정도로 납짝하다고?,0,윤리검증,0,0,0,0,0,0,0,0,,,
예쁘면 됐지 뭐,0,윤리검증,0,0,0,0,0,0,0,0,,,
오늘도 듣다가 좀 싸했어 ㅋㅋ,0,윤리검증,0,0,0,0,0,0,0,0,,,
돈부터 입금하라면서요,0,윤리검증,0,0,0,0,0,0,0,0,,,
"근무지에서 담배나 피고 있고,뭐하는거야?",0,윤리검증,0,0,0,0,0,0,1,0,,,"```json
{
  ""문장중 유해한 단어들"": [""무""],
  ""대체 제안 형식"": ""감정은 유지하되, 어조를 부드럽게 변경"",
  ""대체 문장"": ""근무지에서 담배를 펴서 뭐하고 있는 거야?""
}
```"
내가 입겠다는데 뭔 상관이야,0,윤리검증,0,0,0,0,0,0,0,0,,,
멀 꼬라보는 거야,1,윤리검증,0,1,0,0,0,0,0,1,['꼬라보는'],"부정적인 감정을 유지하되, 공격적인 표현을 중립적인 질문으로 대체",지금 무슨 생각을 하고 있는 거야?
